chembl_id,drug_name,mechanism_of_action,action_type,target_chembl_id,target_name,target_type,binding_site,direct_interaction,molecular_mechanism,disease_efficacy,mechanism_comment,selectivity_comment,references
CHEMBL54,HALOPERIDOL,D2-like dopamine receptor inverse agonist,INVERSE AGONIST,CHEMBL2331075,D2-like dopamine receptor,PROTEIN FAMILY,,1,1,1,,,0443059748; 17015232; Haloperidol
CHEMBL464,ETRETINATE,Retinoid receptor agonist,AGONIST,CHEMBL2363071,Retinoid receptor,PROTEIN FAMILY,,1,1,1,Precise mechanism uncertain. RARG/RXRA are predominant forms in skin,,9074840; 9298126
CHEMBL57,NEVIRAPINE,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,INHIBITOR,CHEMBL247,Human immunodeficiency virus type 1 reverse transcriptase,SINGLE PROTEIN,,1,1,1,,,setid=8dfe86aa-ea5d-48d2-94a8-1a5506055d70
CHEMBL465,DRONABINOL,Cannabinoid CB1 receptor agonist,AGONIST,CHEMBL218,Cannabinoid receptor 1,SINGLE PROTEIN,,1,1,1,CB1 mediates the effect in appetite stimulation,,setid=68b4168b-5782-4e68-a25a-5b4e4408dbce#nlm34090-1; 16570099
CHEMBL467,HYDROXYUREA,Ribonucleoside-diphosphate reductase RR1 inhibitor,INHIBITOR,CHEMBL2095215,Ribonucleoside-diphosphate reductase RR1,PROTEIN COMPLEX GROUP,M2 subunit is binding site,1,1,1,,,setid=740e054b-faac-7c27-f06d-a56efb699355; 23115527
CHEMBL61,PODOFILOX,Unknown,,,,,,1,1,1,"""Microtubule inhibitor, but this is likely not the mode of action against HPV""",,9562603
CHEMBL64,ISONIAZID,Enoyl-[acyl-carrier-protein] reductase inhibitor,INHIBITOR,CHEMBL1849,Enoyl-[acyl-carrier-protein] reductase [NADH],SINGLE PROTEIN,,1,1,1,,,15273113
CHEMBL468,THALIDOMIDE,CRL4(CRBN) E3 ubiquitin ligase inhibitor,INHIBITOR,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase,PROTEIN COMPLEX,Cereblon,1,1,1,,,22552008; 25043012
CHEMBL472,GLYBURIDE,"""Sulfonylurea receptor 1, Kir6.2 blocker""",BLOCKER,CHEMBL2096972,"Sulfonylurea receptor 1, Kir6.2",PROTEIN COMPLEX,,1,1,1,,,label/2015/020051s021lbl.pdf; Glyburide#Mechanism_of_action
CHEMBL473,DOFETILIDE,HERG blocker,BLOCKER,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,SINGLE PROTEIN,,1,1,1,,,setid=02438044-d6a3-49e9-a1ac-3aad21ef2c8c; Herg
CHEMBL476,DACARBAZINE,DNA inhibitor,INHIBITOR,CHEMBL2311221,DNA,NUCLEIC-ACID,,1,1,1,,,setid=b6b97e41-5f15-498c-abfb-d8443ea4d216
CHEMBL477,ADENOSINE,Adenosine receptor agonist,AGONIST,CHEMBL2111329,Adenosine receptor,PROTEIN FAMILY,,1,1,1,,,label/2011/019937s026lbl.pdf; 9780702034718 PP. 204
CHEMBL479,THIORIDAZINE,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,CHEMBL224,5-hydroxytryptamine receptor 2A,SINGLE PROTEIN,,1,1,1,,,archiveid=143101; 0443-059748 PP. 542
CHEMBL479,THIORIDAZINE,Serotonin 2c (5-HT2c) receptor antagonist,ANTAGONIST,CHEMBL225,5-hydroxytryptamine receptor 2C,SINGLE PROTEIN,,1,1,1,,,archiveid=143101; 0443-059748 PP. 542
CHEMBL479,THIORIDAZINE,D2-like dopamine receptor antagonist,ANTAGONIST,CHEMBL2331075,D2-like dopamine receptor,PROTEIN FAMILY,,1,1,1,,,archiveid=143101; 0443-059748 PP. 542
CHEMBL480,LANSOPRAZOLE,Potassium-transporting ATPase inhibitor,INHIBITOR,CHEMBL2095173,Potassium-transporting ATPase,PROTEIN COMPLEX,Alpha subunit is likely binding site,1,1,1,,,setid=82174fcc-1b0f-2068-7fc4-db335b43b5e2#nlm34090-1; 14699149; 23350044
CHEMBL71,CHLORPROMAZINE,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,CHEMBL224,5-hydroxytryptamine receptor 2A,SINGLE PROTEIN,,1,1,1,,,0443059748; 17015232; Chlorpromazine
CHEMBL71,CHLORPROMAZINE,D2-like dopamine receptor antagonist,ANTAGONIST,CHEMBL2331075,D2-like dopamine receptor,PROTEIN FAMILY,,1,1,1,,,0443059748; 17015232; Chlorpromazine
CHEMBL488,AMINOGLUTETHIMIDE,Cytochrome P450 19A1 inhibitor,INHIBITOR,CHEMBL1978,Aromatase,SINGLE PROTEIN,,1,1,1,,,label/2003/018202s021lbl.pdf
CHEMBL488,AMINOGLUTETHIMIDE,Cytochrome P450 11A1 inhibitor,INHIBITOR,CHEMBL2033,"Cholesterol side-chain cleavage enzyme, mitochondrial",SINGLE PROTEIN,,1,1,1,,,label/2003/018202s021lbl.pdf
CHEMBL74,CROMOLYN SODIUM,Unknown,,,,,,1,1,1,,,anda/2000/75-271_Cromolyn%20Sodium_prntlbl.pdf
CHEMBL416146,ETORICOXIB,Cyclooxygenase-2 inhibitor,INHIBITOR,CHEMBL230,Prostaglandin G/H synthase 2,SINGLE PROTEIN,,1,1,1,,Selectively inhibits COX-2 (IC(50) = 1.1 +/- 0.1microM) compared with COX-1 IC(50)=116 +/- 8 microM.,11160644
CHEMBL79,LIDOCAINE,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,Sodium channel alpha subunit,PROTEIN FAMILY,,1,1,1,,,19088384; 20585544
CHEMBL81,RALOXIFENE,Estrogen receptor modulator,MODULATOR,CHEMBL206,Estrogen receptor,SINGLE PROTEIN,,1,1,1,,,setid=fcaaa6dc-74e8-4fb8-800c-5574bf0f8de9
CHEMBL494,ILOPROST,Prostanoid IP receptor agonist,AGONIST,CHEMBL1995,Prostacyclin receptor,SINGLE PROTEIN,,1,1,1,,,setid=d3bebc1c-f032-402a-bbc9-aff024276ed1#nlm34090-1; 0443-059748 PP. 216
CHEMBL85,RISPERIDONE,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,CHEMBL224,5-hydroxytryptamine receptor 2A,SINGLE PROTEIN,,1,1,1,,,label/2014/021346s052lbl.pdf
CHEMBL85,RISPERIDONE,Serotonin 2c (5-HT2c) receptor antagonist,ANTAGONIST,CHEMBL225,5-hydroxytryptamine receptor 2C,SINGLE PROTEIN,,1,1,1,,,label/2014/021346s052lbl.pdf
CHEMBL85,RISPERIDONE,Dopamine D2 receptor antagonist,ANTAGONIST,CHEMBL217,D(2) dopamine receptor,SINGLE PROTEIN,,1,1,1,,,label/2014/021346s052lbl.pdf
CHEMBL428647,PACLITAXEL,Tubulin inhibitor,INHIBITOR,CHEMBL2095182,Tubulin,PROTEIN COMPLEX GROUP,Binds to beta tubulin,1,1,1,,,setid=24d10449-2936-4cd3-b7db-a7683db721e4#section-15; Microtubule
CHEMBL495,ALPROSTADIL,Prostanoid EP1 receptor agonist,AGONIST,CHEMBL1811,Prostaglandin E2 receptor EP1 subtype,SINGLE PROTEIN,,1,1,1,,,"""label/2015/020649s023lbl.pdf; 0443-059748 PP. 216, 445"""
CHEMBL495,ALPROSTADIL,Prostanoid EP2 receptor agonist,AGONIST,CHEMBL1881,Prostaglandin E2 receptor EP2 subtype,SINGLE PROTEIN,,1,1,1,,,"""label/2015/020649s023lbl.pdf; 0443-059748 PP. 216, 445"""
CHEMBL496,HEXACHLOROPHENE,Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor,INHIBITOR,CHEMBL2364678,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,SINGLE PROTEIN,,1,1,1,,Broad spectrum,10671494
CHEMBL497,CLIOQUINOL,Zinc chelating agent,CHELATING AGENT,CHEMBL2363056,Zinc,METAL,,1,1,1,"""Used as antibiotic against diarrhea in the 70s, but nowadays considered in cancer treatments (off-label), for its chelator and ionophore properties with capacity to inhibit proteosome""",,15833873; 21247386
CHEMBL497,CLIOQUINOL,Copper chelating agent,CHELATING AGENT,CHEMBL2363057,Copper,METAL,,1,1,1,"""Used as antibiotic against diarrhea in the 70s, but nowadays considered in cancer treatments (off-label), for its chelator and ionophore properties with capacity to inhibit proteosome""",,15833873; 21247386
CHEMBL497,CLIOQUINOL,Iron chelating agent,CHELATING AGENT,CHEMBL2363058,Iron,METAL,,1,1,1,"""Used as antibiotic against diarrhea in the 70s, but nowadays considered in cancer treatments (off-label), for its chelator and ionophore properties with capacity to inhibit proteosome""",,15833873; 21247386
CHEMBL10878,AGOMELATINE,Melatonin receptor agonist,AGONIST,CHEMBL2094268,Melatonin receptor,PROTEIN FAMILY,,1,1,1,Agomelatine behaves both as a potent agonist at melatonin MT1 and MT2 receptors and as a neutral antagonist at 5-HT2C receptors.,"""Melatonin receptor MT1, Ki=0.1nM / MT2, Ki=0.12nM 5-HT2C receptor, Ki=631nM""",10.1080/09291016.2013.797657; 19300571; 24724693
CHEMBL10878,AGOMELATINE,Serotonin 2c (5-HT2c) receptor antagonist,ANTAGONIST,CHEMBL225,5-hydroxytryptamine receptor 2C,SINGLE PROTEIN,,1,1,1,Agomelatine behaves both as a potent agonist at melatonin MT1 and MT2 receptors and as a neutral antagonist at 5-HT2C receptors.,"""Melatonin receptor MT1, Ki=0.1nM / MT2, Ki=0.12nM 5-HT2C receptor, Ki=631nM""",10.1080/09291016.2013.797657; 19300571; 24724693
CHEMBL498,CHLORPROPAMIDE,"""Sulfonylurea receptor 1, Kir6.2 blocker""",BLOCKER,CHEMBL2096972,"Sulfonylurea receptor 1, Kir6.2",PROTEIN COMPLEX,,1,1,1,,,label/2011/011641s066lbl.pdf; 10194514; 22260657; Chlorpropamide
CHEMBL499,TIMOLOL,Beta-1 adrenergic receptor antagonist,ANTAGONIST,CHEMBL213,Beta-1 adrenergic receptor,SINGLE PROTEIN,,1,1,1,,,setid=00f62dd1-dad2-4892-8a5d-21e5e54509ce
CHEMBL499,TIMOLOL,Beta-2 adrenergic receptor antagonist,ANTAGONIST,CHEMBL210,Beta-2 adrenergic receptor,SINGLE PROTEIN,,1,1,1,,,setid=00f62dd1-dad2-4892-8a5d-21e5e54509ce
CHEMBL500,PINDOLOL,Beta-1 adrenergic receptor partial agonist,PARTIAL AGONIST,CHEMBL213,Beta-1 adrenergic receptor,SINGLE PROTEIN,,1,1,1,,,setid=07fe9cc3-1ef2-420c-b45d-7f1e894b6ef9
CHEMBL500,PINDOLOL,Beta-2 adrenergic receptor partial agonist,PARTIAL AGONIST,CHEMBL210,Beta-2 adrenergic receptor,SINGLE PROTEIN,,1,1,1,,,setid=07fe9cc3-1ef2-420c-b45d-7f1e894b6ef9
