chembl_id,drug_name,class,therapeutic_uses,adverse_effects,binding_sites,target_names,target_types,mechanism_of_action,lipophilicity,synonyms
CHEMBL12,DIAZEPAM,Not available,epilepsy; Seizure; anxiety; pain; Landau-Kleffner syndrome; Dementia; injury; status epilepticus; rotator cuff tear; Agitation; Low back pain; cerebral palsy; complex partial epilepsy; depressive disorder; anxiety disorder; anxiety disorder; Stiff-Person syndrome; Agitation; schizophrenia,misuse (),Benzodiazepine site,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,GABA-A receptor; anion channel positive allosteric modulator,Not available,Not available
CHEMBL13,METOPROLOL,Not available,Beta-thalassemia; cardiovascular disease; atrial fibrillation; hypertension; heart failure; atopic eczema; neoplasm; psoriasis; malaria; obesity; heart disease; sudden cardiac arrest; ventricular fibrillation; ventricular tachycardia; premature birth; atherosclerosis; Hypercholesterolemia; Ventricular arrhythmia; breast cancer; congestive heart failure; HIV infection; coronary artery disease; ST Elevation Myocardial Infarction; Non-ST Elevation Myocardial Infarction; acute myocardial infarction; myocardial infarction; type 2 diabetes mellitus; Prader-Willi syndrome; acute respiratory distress syndrome; orthostatic intolerance; Takotsubo cardiomyopathy,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL411,DIETHYLSTILBESTROL,Not available,neoplasm; prostate cancer,Not available,Not available,Estrogen receptor alpha,SINGLE PROTEIN,Estrogen receptor alpha agonist,Not available,Not available
CHEMBL267936,MECAMYLAMINE,Not available,hypertension; age-related macular degeneration; nicotine dependence; aging; macular degeneration; autism; major depressive disorder; Mental deterioration; alcohol dependence,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL14,CARBACHOL,Not available,presbyopia; Miosis; cataract; glaucoma,Not available,Not available,Muscarinic acetylcholine receptor M3,SINGLE PROTEIN,Muscarinic acetylcholine receptor M3 agonist,Not available,Not available
CHEMBL16,PHENYTOIN,Not available,epilepsy; Seizure; injury; optic neuritis; cocaine dependence; anxiety; Thalassemia; Dementia; leukemia; lymphoma; neuroblastoma; anemia (phenotype); pancreatic carcinoma; polyneuropathy; depressive disorder; Ewing sarcoma; schizophrenia; sickle cell anemia; immune system disease,Not available,Not available,Sodium channel alpha subunit,PROTEIN FAMILY,Sodium channel alpha subunit blocker,Not available,Not available
CHEMBL413,SIROLIMUS,Not available,"acute lymphoblastic leukemia; kidney disease; Abnormality of the cardiovascular system; acute graft vs. host disease; diabetic retinopathy; neoplasm; sarcoma; hepatocellular carcinoma; hypertension; multiple myeloma; age-related macular degeneration; Cutaneous T-cell lymphoma; fibroma; dry eye syndrome; immune system disease; HIV-1 infection; systemic scleroderma; chronic kidney disease; aging; relapsing-remitting multiple sclerosis; pancreatic carcinoma; rectum cancer; chronic lymphocytic leukemia; Hodgkins lymphoma; myelodysplastic syndrome; acute myeloid leukemia; chronic myelogenous leukemia; diffuse large B-cell lymphoma; germ cell tumor; glioblastoma multiforme; leukemia; lymphoma; neuroblastoma; osteosarcoma; renal cell carcinoma; small cell lung carcinoma; squamous cell lung carcinoma; non-small cell lung carcinoma; IGA glomerulonephritis; focal segmental glomerulosclerosis; non-Hodgkins lymphoma; vascular malformation; severe aplastic anemia; inclusion body myositis; Pineoblastoma; sarcopenia; anterior uveitis; intermediate uveitis; posterior uveitis; gliosarcoma; Mantle cell lymphoma; Autosomal dominant polycystic kidney disease; Abnormality of blood and blood-forming tissues; Aplastic anemia; Hypercholesterolemia; Glycogen storage disease due to acid maltase deficiency; Cerebral arteriovenous malformation; Familial adenomatous polyposis; metastatic prostate cancer; lung adenocarcinoma; ovarian carcinoma; plasma cell leukemia; oral lichen planus; skin carcinoma; bronchitis; metastasis; Fallopian Tube Carcinoma; soft tissue sarcoma; kidney failure; Birt-Hogg-Dube syndrome; malignant peripheral nerve sheath tumor; brain aneurysm; eye disease; wet macular degeneration; Polycystic Kidney Disease; Central Nervous System Neoplasm; urinary bladder cancer; scleritis; thyroid cancer; hyperinsulinism; anemia; liver cancer; skin cancer; pulmonary hypertension; breast cancer; prostate cancer; lung cancer; graft versus host disease; Castleman disease; carcinoma of liver and intrahepatic biliary tract; hematopoietic and lymphoid cell neoplasm; Beta-thalassemia; diabetic nephropathy; acute lung injury; acute respiratory distress syndrome; pemphigus; Graves ophthalmopathy; lymphoblastic lymphoma; depressive disorder; COVID-19; Gaucher disease type 2; lupus nephritis; Desmoid-type fibromatosis; IgG4-related retroperitoneal fibrosis; Ewing sarcoma; heart failure; Vitiligo; neurofibromatosis; Kidney Angiomyolipoma; multiple system atrophy; Thalassemia; Immunodeficiency; tuberous sclerosis; amyotrophic lateral sclerosis; urinary bladder carcinoma; type 1 diabetes mellitus; Parkinson disease; alcohol dependence; familial multiple nevi flammei; Sturge-Weber syndrome; sickle cell anemia; lymphangioleiomyomatosis; severe combined immunodeficiency; pachyonychia congenita; frontotemporal dementia; gangliosidosis; Gaucher disease; chronic granulomatous disease; neurofibromatosis type 1; lymphatic malformation; sarcoidosis; Fanconi anemia; hemangioendothelioma; Sjogren syndrome; liver disease; influenza; kidney transplant; PEComa; ""Anemia, Hemolytic, Autoimmune""; atrophic macular degeneration; Angiofibroma; cancer; systemic lupus erythematosus; chronic graft versus host disease; Delayed Graft Function",carcinogenicity (); immune system toxicity (); infectious disease (),Not available,FK506-binding protein 1A,SINGLE PROTEIN,FK506-binding protein 1A inhibitor,Not available,Not available
CHEMBL269732,TACROLIMUS ANHYDROUS,Not available,"chronic lymphocytic leukemia; hepatocellular carcinoma; Hodgkins lymphoma; myelodysplastic syndrome; acute lymphoblastic leukemia; acute myeloid leukemia; atopic eczema; chronic myelogenous leukemia; Crohn's disease; diabetes mellitus; diffuse large B-cell lymphoma; reproductive system disease; infertility; injury; leukemia; lymphoma; neoplasm; neuroblastoma; psoriasis; rheumatoid arthritis; sarcoma; systemic scleroderma; ulcerative colitis; pulmonary arterial hypertension; age-related macular degeneration; multiple myeloma; liver disease; encephalomyelitis; lymphoid neoplasm; primary myelofibrosis; hepatitis C virus infection; kidney disease; heart disease; lung disease; cutaneous lupus erythematosus; colitis; chronic kidney disease; IGA glomerulonephritis; Vitiligo; chronic hepatitis C virus infection; focal segmental glomerulosclerosis; nephrotic syndrome; venous thromboembolism; acute graft vs. host disease; Myasthenia gravis; Autoimmune Hepatitis; lupus nephritis; non-Hodgkins lymphoma; plasma cell leukemia; severe aplastic anemia; allergic conjunctivitis; aspergillosis; bronchiolitis obliterans; Juvenile Myelomonocytic Leukemia; Vulvar Lichen Sclerosus; epidermolysis bullosa; seborrheic dermatitis; Sezary's disease; acute kidney tubular necrosis; mycosis fungoides; Mantle cell lymphoma; scleroderma; Thalassemia; Aplastic anemia; Hypercholesterolemia; Beta-thalassemia; neoplasm of mature B-cells; unspecified peripheral T-cell lymphoma; angioimmunoblastic T-cell lymphoma; Burkitts lymphoma; polycythemia vera; anaplastic large cell lymphoma; myeloproliferative disorder; membranous glomerulonephritis; vasculitis; oral lichen planus; Waldenstrom macroglobulinemia; peripheral nerve injury; Langerhans Cell Histiocytosis; hairy cell leukemia; chronic myelomonocytic leukemia; kidney failure; Hepatic failure; chronic myeloproliferative disorder; childhood acute lymphoblastic leukemia; lymphoblastic lymphoma; kidney cancer; skin cancer; keratoconjunctivitis; prostate cancer; graft versus host disease; T-cell non-Hodgkin lymphoma; follicular lymphoma; T-cell large granular lymphocyte leukemia; adult T-cell leukemia/lymphoma; extranodal nasal NK/T cell lymphoma; neuroepithelial neoplasm; hematopoietic and lymphoid cell neoplasm; myelofibrosis; autoimmune thrombocytopenic purpura; ""Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive""; lipoid nephrosis; Respiratory Syncytial Virus Infection; COVID-19; hematologic disease; edema; hematopoietic and lymphoid system neoplasm; myelodysplastic/myeloproliferative disease; MALT lymphoma; infection; ischemia reperfusion injury; acute pancreatitis; Pure red cell aplasia; bone marrow failure syndrome; alopecia; amyotrophic lateral sclerosis; asthma; type 1 diabetes mellitus; multiple sclerosis; Shwachman-Diamond syndrome; Wiskott-Aldrich syndrome; sickle cell anemia; Diamond-Blackfan anemia; severe combined immunodeficiency; 22q11.2 deletion syndrome; lymphedema; Sjogren syndrome; skin disease; alopecia areata; medication adherence behavior; Immunodeficiency; cancer; chronic graft versus host disease; paroxysmal nocturnal hemoglobinuria",Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL415,CLOMIPRAMINE,Not available,unipolar depression; obsessive-compulsive disorder; anxiety; Dementia; depressive disorder; schizophrenia; premature ejaculation,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL416,METHOXSALEN,Not available,lymphoma; mycosis fungoides; acute graft vs. host disease; Crohn's disease; rheumatoid arthritis; lymphoid neoplasm; epidermolysis bullosa acquisita; Sezary's disease; psoriasis; pancreatic carcinoma; graft versus host disease; T-cell non-Hodgkin lymphoma; Ewing sarcoma; diffuse scleroderma; chronic graft versus host disease,carcinogenicity (),Not available,DNA,NUCLEIC-ACID,DNA inhibitor,Not available,Not available
CHEMBL17,DICHLORPHENAMIDE,Not available,paramyotonia congenita of Von Eulenburg; hypokalemic periodic paralysis; hyperkalemic periodic paralysis; glaucoma,Not available,Not available,Carbonic anhydrase IV; Carbonic anhydrase I; Carbonic anhydrase XII; Carbonic anhydrase II,SINGLE PROTEIN,Carbonic anhydrase I inhibitor; Carbonic anhydrase XII inhibitor; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor,Not available,Not available
CHEMBL18,ETHOXZOLAMIDE,Not available,Not available,Not available,Not available,Carbonic anhydrase,PROTEIN FAMILY,Carbonic anhydrase inhibitor,Not available,Not available
CHEMBL417,EPIRUBICIN,Not available,hepatocellular carcinoma; diffuse large B-cell lymphoma; germ cell tumor; neoplasm; pancreatic carcinoma; non-small cell lung carcinoma; breast neoplasm; nasopharyngeal neoplasm; testicular neoplasm; triple-negative breast cancer; non-Hodgkins lymphoma; inflammatory breast carcinoma; small cell lung carcinoma; thrombotic disease; gastric cancer; breast cancer; esophageal cancer; ovarian cancer; prostate cancer; classic Hodgkin lymphoma; neoplasm of mature B-cells; urinary bladder cancer; soft tissue sarcoma; Sepsis; unspecified peripheral T-cell lymphoma; Thymoma,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL19,METHAZOLAMIDE,Not available,altitude sickness; cervical cancer; open-angle glaucoma; glaucoma,Not available,Not available,Carbonic anhydrase IV; Carbonic anhydrase I; Carbonic anhydrase VII; Carbonic anhydrase II,SINGLE PROTEIN,Carbonic anhydrase I inhibitor; Carbonic anhydrase VII inhibitor; Carbonic anhydrase IV inhibitor; Carbonic anhydrase II inhibitor,Not available,Not available
CHEMBL20,ACETAZOLAMIDE,Not available,kidney disease; Cardiodysrhythmic potassium-sensitive periodic paralysis; altitude sickness; heart failure; pulmonary arterial hypertension; stroke; orthostatic hypotension; cysticercosis; Landau-Kleffner syndrome; normal pressure hydrocephalus; pseudotumor cerebri; Seizure; small cell lung carcinoma; status epilepticus; Chronic pain; Helicobacter pylori infectious disease; Apnea; angle-closure glaucoma; macular retinal edema; hepatocellular carcinoma; obstructive sleep apnea; congestive heart failure; epilepsy; edema; metastatic melanoma; schizophrenia; type 1 diabetes mellitus; multiple sclerosis; glaucoma; prostate cancer,dermatological toxicity (); hepatotoxicity (),Not available,Carbonic anhydrase IV; Carbonic anhydrase I; Carbonic anhydrase XII; Carbonic anhydrase II,SINGLE PROTEIN,Carbonic anhydrase I inhibitor; Carbonic anhydrase XII inhibitor; Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor,Not available,Not available
CHEMBL419,MAFENIDE,Not available,osteomyelitis,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL21,SULFANILAMIDE,Not available,bacterial disease,Not available,Not available,Bacterial dihydropteroate synthase,SINGLE PROTEIN,Bacterial dihydropteroate synthase inhibitor,Not available,Not available
CHEMBL420,GUANABENZ,Not available,relapsing-remitting multiple sclerosis,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL22,TRIMETHOPRIM,Not available,"infection; atopic eczema; neoplasm; idiopathic pulmonary fibrosis; malaria; abscess; kidney disease; osteomyelitis; urinary tract infection; pneumonia; anemia (phenotype); Staphylococcus aureus infection; ocular toxoplasmosis; pneumocystosis; epidermolysis bullosa; pyelonephritis; ""Lymphoma, AIDS-Related""; bacterial disease; Granulomatosis with Polyangiitis; Eczema; glioblastoma multiforme; HIV infection; anaplastic astrocytoma; Sepsis; measles; B-cell acute lymphoblastic leukemia; brain neoplasm; Otitis media; chronic obstructive pulmonary disease; bacteriemia; type 1 diabetes mellitus; cystic fibrosis; tuberculosis; Leber congenital amaurosis",Not available,Not available,Bacterial dihydrofolate reductase,SINGLE PROTEIN,Bacterial dihydrofolate reductase inhibitor,Not available,Not available
CHEMBL6966,VERAPAMIL,Not available,"cardiovascular disease; atrial fibrillation; ""osteoarthritis, knee""; pain; Dravet syndrome; Hodgkins lymphoma; Crohn's disease; heart failure; drug dependence; Respiratory Syncytial Virus Infection; Ventricular arrhythmia; hemorrhage; Ischemic stroke; COVID-19; type 1 diabetes mellitus; type 2 diabetes mellitus; bipolar disorder",Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL421,SULFASALAZINE,Not available,ankylosing spondylitis; neuropathy; rheumatoid arthritis; osteomyelitis; Chemotherapy-induced nausea and vomiting; juvenile idiopathic arthritis; sclerosing cholangitis; glioblastoma multiforme; intestinal obstruction; pulmonary arterial hypertension; psoriatic arthritis; ulcerative colitis; acute myeloid leukemia; premature birth,Not available,Not available,Cyclooxygenase; Arachidonate 5-lipoxygenase,PROTEIN FAMILY; SINGLE PROTEIN,Cyclooxygenase inhibitor; Arachidonate 5-lipoxygenase inhibitor,Not available,Not available
CHEMBL6466,COUMARIN,Not available,Not available,Not available,Not available,Not available,Not available,Unknown,Not available,Not available
CHEMBL23,DILTIAZEM,Not available,metabolic syndrome; atrial fibrillation; cardiovascular disease; hypertension; hypertrophic cardiomyopathy; ischemia reperfusion injury; heart failure; drug dependence; atherosclerosis; Myocardial Ischemia; Constipation; hypotension; influenza; hemorrhoid; Hypercholesterolemia; Anal fissure; thrombotic disease; coronary artery disease; COVID-19; anus disease; type 2 diabetes mellitus; post operative nausea and vomiting; cancer,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL24,ATENOLOL,Not available,angina pectoris; hypertension; myocardial infarction; heart disease; cardiovascular disease; hemangioma; atrial fibrillation; post-traumatic stress disorder; heart failure; cerebrovascular disorder; osteoporosis; left ventricular hypertrophy; mitral valve stenosis; Myocardial Ischemia; diabetes mellitus; stroke; coronary atherosclerosis; essential hypertension; Marfan syndrome; orthostatic intolerance,cardiotoxicity (),Not available,Beta-1 adrenergic receptor,SINGLE PROTEIN,Beta-1 adrenergic receptor antagonist,Not available,Not available
CHEMBL25,ASPIRIN,Not available,atrial fibrillation; duodenal ulcer; Fever; hypertension; peripheral arterial disease; infertility; stroke; pain; preeclampsia; squamous cell carcinoma; cardiovascular disease; psychosis; heart failure; pulmonary arterial hypertension; acute lung injury; glioblastoma multiforme; HIV infection; HIV-1 infection; atherosclerosis; venous thromboembolism; chronic obstructive pulmonary disease; acute respiratory distress syndrome; Recurrent thrombophlebitis; breast neoplasm; prostate carcinoma; non-small cell lung carcinoma; pneumonia; injury; chronic kidney disease; ischemia; acute coronary syndrome; Venous thrombosis; heart disease; insomnia; diabetes mellitus; hypertrophic cardiomyopathy; polycythemia vera; neoplasm; Barrett's esophagus; vascular disease; myocardial infarction; habitual abortion; pregnancy; retinal vein occlusion; colorectal adenoma; nicotine dependence; angina pectoris; hepatocellular carcinoma; metabolic syndrome; aortic stenosis; cutaneous melanoma; essential thrombocythemia; periodontitis; ulcerative colitis; multiple myeloma; internal carotid artery stenosis; brain aneurysm; peripheral vascular disease; ovarian neoplasm; Hypertriglyceridemia; nasopharyngeal neoplasm; osteonecrosis; schizoaffective disorder; head and neck malignant neoplasia; common cold; placental insufficiency; rectum cancer; cerebral atherosclerosis; retinal artery occlusion; rheumatic heart disease; Myocardial Ischemia; colorectal carcinoma; Headache; Oral leukoplakia; Hypercholesterolemia; Sepsis; inflammation; hemorrhage; Disorder of lipid metabolism; prostate adenocarcinoma; cerebrovascular disorder; bone fracture; mucocutaneous lymph node syndrome; acute chest syndrome; thrombophilia; gastric ulcer; macular degeneration; Fatigue; chronic myelogenous leukemia; lung adenocarcinoma; severe acute respiratory syndrome; vitamin D deficiency; diabetic retinopathy; viral pneumonia; blood coagulation disease; respiratory failure; treatment resistant depression; gastrointestinal disease; varicose ulcer; Blindness; Gastrointestinal hemorrhage; Low back pain; Disseminated intravascular coagulation; Tension-type headache; thrombotic disease; gastric cancer; major depressive disorder; pharyngitis; cerebral infarction; cervical cancer; peptic ulcer disease; breast cancer; esophageal cancer; ovarian cancer; prostate cancer; endometrial cancer; malignant colon neoplasm; ulcer disease; fetal growth restriction; transient ischemic attack; brain infarction; ST Elevation Myocardial Infarction; Non-ST Elevation Myocardial Infarction; Herpes simplex infection; Ischemic stroke; Peptic ulcer; adenomyosis; meningitis; COVID-19; Familial adenomatous polyposis; coronary artery disease; arthritis; acute myocardial infarction; non-allergic rhinitis; muscle cramp; toothache; Myalgia; Muscle spasm; Back pain; Dysmenorrhea; postherpetic neuralgia; influenza; alcoholic liver disease; aging; asthma; schizophrenia; cataract; type 2 diabetes mellitus; osteoarthritis; migraine disorder; multiple sclerosis; Lynch syndrome; sickle cell anemia; tuberculosis; respiratory system disease; pancreatic carcinoma; mouth neoplasm; hip fracture; Aspirin-induced asthma; bipolar disorder; cancer; systemic lupus erythematosus; thrombotic thrombocytopenic purpura,Not available,Not available,Cyclooxygenase,PROTEIN FAMILY,Cyclooxygenase inhibitor,Not available,Not available
CHEMBL422,TRIFLUOPERAZINE,Not available,psychosis,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL26,SULPIRIDE,Not available,anxiety; Dementia; psychosis; depressive disorder; schizophrenia,Not available,Not available,Dopamine D2 receptor,SINGLE PROTEIN,Dopamine D2 receptor antagonist,Not available,Not available
CHEMBL423,BETAXOLOL,Not available,cardiovascular disease; open-angle glaucoma; ocular hypertension; glaucoma,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL424,SALICYLIC ACID,Not available,eye inflammation; freckles; cardiovascular disease; psoriasis; acne; actinic keratosis; pain; acute coronary syndrome; keratosis; heavy metal poisoning; Headache; Hypercholesterolemia; infertility; stroke; thrombophilia; Tension-type headache; thrombotic disease; pharyngitis; skin disease; sunburn; common wart; keratosis; seborrheic dermatitis; Pruritus; dermatitis; skin cancer; inflammation,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL425,OLSALAZINE,Not available,ankylosing spondylitis,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL27,PROPRANOLOL,Not available,hepatocellular carcinoma; cardiovascular disease; chronic obstructive pulmonary disease; hypertension; injury; portal hypertension; renal cell carcinoma; stroke; melanoma; memory impairment; post-traumatic stress disorder; multiple myeloma; cirrhosis of liver; cocaine dependence; kidney disease; autism spectrum disorder; pain; osteoporosis; obstructive sleep apnea; angiosarcoma; colorectal neoplasm; panic disorder; smoking cessation; anxiety; orthostatic hypotension; fibromyalgia; hemangioma; dystocia; retinopathy of prematurity; Ascites; myocardial infarction; pancreatic neoplasm; sudden cardiac arrest; ventricular fibrillation; alcohol drinking; burn; orthostatic intolerance; Myocardial Ischemia; Syncope; Hypoglycemia; Supraventricular tachycardia; Shoulder pain; esophageal varices; Low back pain; gastric cancer; major depressive disorder; papilloma; substance dependence; breast cancer; brain injury; hypotension; Headache; age-related macular degeneration; acute stress reaction; asthma; type 1 diabetes mellitus; migraine disorder; migraine with aura; Marfan syndrome; sickle cell anemia; hereditary hemorrhagic telangiectasia; lymphedema; famililal cerebral cavernous malformations; migraine without aura; Kaposi's sarcoma; triple-negative breast cancer; dental phobia; prostate cancer,Not available,Not available,Not available,Not available,Not available,Not available,Not available
CHEMBL6995,PRACTOLOL,Not available,cardiovascular disease,Not available,Not available,Beta-1 adrenergic receptor,SINGLE PROTEIN,Beta-1 adrenergic receptor inhibitor,Not available,Not available
CHEMBL427,MECHLORETHAMINE,Not available,Hodgkins lymphoma; lymphoma; mycosis fungoides; neoplasm; lichen planopilaris,Not available,Not available,DNA,NUCLEIC-ACID,DNA inhibitor,Not available,Not available
